日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
6/02,LC- 私人銀行顧客關係經理 / 資深理專/企金RM,新加坡商立可人事顧問有限公司台灣分公司,台北市信義區,"1,500",<私人銀行顧客關係經理 / 資深理專>台北/中部 都有職缺*擁有金融產品證照*擔任理專經驗達2年以上<企金RM>*有5年以上企金RM,台北市信義區,3年以上,大學,外商公司,6yhpo,www.104.com.tw/job/6yhpo?jobsource=jolist_c_relevance
6/02,財會部 副理 Accounting Manager,瑞威動物科技股份有限公司,台北市松山區復興北路1號15樓,待遇面議,☆學校限定：台大、政大、成大、中山大、台科大☆限「管理學院」學士、碩士畢業工作內容：1. 負責新ERP規劃與後續實務導入，需從全新開始負責建置。包含進銷存、會計系統等完整全套之ERP系統。2. 負責建立符合IFRS之會計制度、製作符合IFRS之財務報導3. 成本會計4. 管理會計. 如表現積極、為公司帶來重大貢獻，隨公司發展，將優先考慮升任為財務長！工作時間：10:30~11:00上班，18:00下班會接觸到外籍同事與投資人，需有一定英文程度，多益860以上金色證書。☆ 非大學財金、財政、會計相關管院系所畢業 請 勿 投 遞 履 歷！,台北市松山區,2年以上,大學,,6y9ej,www.104.com.tw/job/6y9ej?jobsource=jolist_c_relevance
6/05,【週休二日/無經驗可】新人均薪32000-38000起／保障底薪+成交獎金／內勤金融商品外撥專員(服務銀行VIP客戶)／不須陌生開發(台中) 1688-D25,精英人力資源股份有限公司,台中市西屯區台灣大道三段(近秋紅谷),"25,600","【工作內容】．辦公室純內勤、不需外訪日曬雨淋。．公司提供客戶名單，不需要陌開及親友銷售，以電話方式提供客戶商品介紹．工作地點近秋虹谷，最近公車站走路三分鐘．工作時間周一至周五 9:30~18:30（周休六日）．薪資保障底薪25,600元+高額獎金．平均收入3萬~4萬元以上，銷售高手平均月入5萬~6萬元以上。【工作需求】．高中職以上畢業，非在學生．不想領固定薪，希望挑戰高獎金，能接受業績目標【工作福利】．過新人期年假10天(首年度按在職天數比例)．國內外旅遊獎勵競賽，盡情工作盡情玩樂、禮金點數等超優福利．提供穩定客戶名單，不需自行開發．大眾需求醫療險等商品，客戶接受度高．免費教育訓練，無經驗培訓為專業人才",台中市西屯區,1年以上,高中,,6xlq7,www.104.com.tw/job/6xlq7?jobsource=jolist_c_relevance
6/01,Finance,雲端互動股份有限公司,台北市大安區,待遇面議,"•	Drive end-to-end FP&A activities as well as provide business partnership to the leaders•	Provide financial reports and interpret financial information to managerial staff while recommending further courses of action.•	Maintain the company financial health in terms of different location in Taiwan, US, and China.  •	Oversee operations of the finance department, set goals and objectives, and design a framework for these to be met.•	Play a pivotal role interacting with investors, sponsors, banks, auditors and lawyers",台北市大安區,8年以上,專科,員工80人,6eayi,www.104.com.tw/job/6eayi?jobsource=jolist_c_relevance
6/04,分析師,華冠投顧_華冠證券投資顧問股份有限公司,台北市中正區忠孝東路二段100號6樓之2,待遇面議,"1.產業研究資料彙整。2.盤勢分析報告撰寫。3.有證券相關工作及媒體行銷解盤經驗  ＂者佳＂,無經驗願接受培訓者亦可。。本公司擁有完整業務團隊及制度，歡迎正派經營、有衝勁、有自信及毅力，口才流利，欲成為市場一流名師，月入百萬者加入。",台北市中正區,2年以上,專科,員工70人,3wvvn,www.104.com.tw/job/3wvvn?jobsource=jolist_c_relevance
6/02,財務部-股票交易員,陽信商業銀行股份有限公司,台北市北投區石牌路一段88號4樓,待遇面議,1.擔任股票交易人員，須具2年以上股票交易或衍生性金融商品經驗，備金融相關證照，享高額獎金。2.另具投信相關經驗尤佳。,台北市北投區,2年以上,大學,員工2000人,6ftur,www.104.com.tw/job/6ftur?jobsource=jolist_c_relevance
6/01,會計主任(台北總部),貝里斯商美麗樂生技股份有限公司台灣分公司,台北市內湖區洲子街88號10樓,待遇面議,1.覆核各項會計作業，以符合財會及稅務之規定2.每月結帳月結控制及核閱財務報表，並針對異常項目進行分析檢討3.配合會計師財稅簽查帳作業。4.專案費用的分析.未來執行預算編制及檢討6.其他主管交辦事項,台北市內湖區,3年以上,專科,員工70人,5z8h3,www.104.com.tw/job/5z8h3?jobsource=jolist_c_relevance
6/05,證投_投資企劃人員,遠雄人壽保險事業股份有限公司(總公司),台北市信義區松高路1號28樓,待遇面議,1.投資組合分析、投資計量模型研發及風險評估2.投資管理報表優化作業,台北市信義區,1年以上,專科,員工730人,67q27,www.104.com.tw/job/67q27?jobsource=jolist_c_relevance
6/01,會計人事,易付通金融科技有限公司,台南市安平區永華三街333號6樓之1,"26,000",1.辦理銀行現金存款、提款、匯款、轉帳作業。2.執行一般現金收付作業。3.核對儲存現金與記錄是否相符合。4.管理零用金異動及撥補作業。.製作出納科目餘額表、收款日報表、利息收入調節表、銀行存款收支日報表、銀行往來授信明細表等。6.協助處理有關會計作業與人事行政事務等相關業務。7.聯繫合作廠商相關事宜,台南市安平區,3年以上,大學,員工7人,6hrx6,www.104.com.tw/job/6hrx6?jobsource=jolist_c_relevance
6/01,網路網頁美編企劃,易付通金融科技有限公司,台南市安平區永華三街333號6樓之1,"28,000",<工作內容> (1)協助粉絲團相關圖片設計 (2)一般平面美編需求及圖片排版設計（如:海報、懶人包、活動宣傳圖等） (3)協助進行網頁美編設計、排版 (4)進行直播、攝影、短片拍攝 (5) 熟悉Photoshop / Illustrator軟體應用 (具備HTML能力佳) 6．網站視覺呈現設計 7．網站活動及新品BANNER設計製作 8．電子報 EDM / APP相關網路廣告之素材製作 ,台南市安平區,1年以上,專科,員工7人,6y8g4,www.104.com.tw/job/6y8g4?jobsource=jolist_c_relevance
