日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-06-05,放款業務專員(彰化/員林),三信商業銀行股份有限公司,台中市中區市府路,"30,000",徵聘人員: 信用放款專員。,彰化縣員林市,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/71636490/
2020-06-05,汽車貸款業務專員,三信商業銀行股份有限公司,台中市中區市府路,"24,000",徵聘人員:1. 信用貸款業務專員。2. 工作地點：台北市、新北市板橋區、桃園市、台中市、高雄市,台中市北區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/78485594/
2020-06-05,汽車貸款專員-台北區,三信商業銀行股份有限公司,台中市中區市府路,"24,000","應徵者可先提供履歷表參考,謝謝~1.業務拓展能力2.開發新車及中古車商，提供車貸產品，負責車商及客戶維護3.汽車貸款相關作業要求條件 ● 擁有 普通小型車,普通重機車 駕照 ● 自備 普通重機車",台北市內湖區,1年工作經驗以上,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/79799232/
2020-06-02,行政人員(工讀生),台中商業銀行股份有限公司,台中市西區民權路,"23,800","辦理銀行存匯、現金收付、票據託收、票據審核、國內外匯兌、環境整潔、資料輸入、公文傳遞等服務性質工作,限在學夜校生",台中市西區,經驗不拘,"高中職,專科,大學",https://www.1111.com.tw/job/79821154/
2020-06-02,經驗行員(高雄市橋頭區),三信商業銀行股份有限公司,台中市中區市府路,"35,000",1. 專科以上畢2. (1)銀行存匯、授信業務經驗一年以上 　 (2)具業務拓展能力者尤佳要求條件 ● 擁有 普通小型車 駕照,高雄市橋頭區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/71636476/
2020-06-02,業務人員-豐原分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)負責開拓維護消金、企金、授信業務。(2)具開拓新客戶能力。(3)個性積極，需於金融業擔任消金、企金實務工作二年以上經驗者尤佳。(4)具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,台中市豐原區,經驗不拘,"專科,大學,碩士,博士",https://www.1111.com.tw/job/91487572/
2020-06-02,台東分行-經驗行員,陽信商業銀行股份有限公司(總行),台北市北投區石牌路,"33,000",1.專科以上學歷畢業。2.具1年以上銀行經驗。3.曾任存匯、消企金放款、徵授信、理財、外匯等相關經驗。4.具業務推展能力尤佳。5.具金融相關證照。,台東縣卑南鄉,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/77331545/
2020-06-02,中區區域中心,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)負責企金客戶之開發與維護及貸款案件之徵信審核。 (2)具撰寫企業徵信報告(財務評估及產業分析)能力者。 (3)積極有企圖心、具熱忱與抗壓性，能接受業績挑戰者。 (4)具一年以上銀行經驗或徵授信相關經驗者尤佳。(5)具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,台中市西區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91502167/
2020-06-02,南區區域中心,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)負責企金客戶之開發與維護及貸款案件之徵信審核。 (2)具撰寫企業徵信報告(財務評估及產業分析)能力者。 (3)積極有企圖心、具熱忱與抗壓性，能接受業績挑戰者。 (4)具一年以上銀行經驗或徵授信相關經驗者尤佳。(5)具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,彰化縣彰化市,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91502161/
2020-06-05,一般行員-大甲分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,台中市大甲區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91515016/
2020-06-02,一般行員-民雄分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,嘉義縣民雄鄉,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91489782/
2020-06-02,一般行員-清水分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,台中市清水區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91466388/
2020-06-02,一般行員-埔心分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,彰化縣埔心鄉,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91449915/
2020-06-02,一般行員-(新店地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,新北市新店區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91449705/
2020-06-02,一般行員-東勢分行,台中商業銀行股份有限公司,台中市西區民權路,"28,000",(1)大學以上畢業。(2)具熱忱、對銀行工作有高度興趣者。(3)辦理銀行相關事務等。,台中市東勢區,經驗不拘,"大學,碩士,博士",https://www.1111.com.tw/job/91290544/
2020-06-02,消金業務人員-(苗栗地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",1.專科以上畢業。2.具1年以上消金AO經驗者。3.負責消金授信業務之推展。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,苗栗縣竹南鎮,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85239910/
2020-06-02,消金業務人員-(南投地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",1.專科以上畢業。2.具1年以上消金AO經驗者。3.負責消金授信業務之推展。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,南投縣南投市,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85239894/
2020-06-02,消金業務人員-(雲林地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",1.專科以上畢業。2.具1年以上消金AO經驗者。3.負責消金授信業務之推展。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,雲林縣斗南鎮,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85239872/
2020-06-02,消金業務人員-(新竹地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",1.專科以上畢業。2.具1年以上消金AO經驗者。3.負責消金授信業務之推展。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,新竹市東區,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85239863/
2020-06-02,消金業務人員-(彰化地區),台中商業銀行股份有限公司,台中市西區民權路,"28,000",1.專科以上畢業。2.具1年以上消金AO經驗者。3.負責消金授信業務之推展。4.具金融相關工作經驗者，依薪資證明、相關證照等條件，彈性敘薪進用。,彰化縣彰化市,1年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/85239848/
2020-06-05,經驗企金業務專員,三信商業銀行股份有限公司,台中市中區市府路,"24,000",開發授信客戶,高雄市橋頭區,2年工作經驗以上,"專科,大學,碩士,博士",https://www.1111.com.tw/job/78320614/
