日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,工作網址
2020-07-05,營業員-屏東分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員 專業憑證,屏東縣屏東市,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636640/
2020-07-06,營業員-北高雄分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,高雄市鼓山區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/85121265/
2020-07-05,營業員-開元分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,台南市北區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636628/
2020-07-05,營業員-土城分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,新北市土城區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636575/
2020-07-05,營業員-萬華分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,台北市萬華區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636570/
2020-07-05,營業員-高雄分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,高雄市前金區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769414/
2020-07-05,營業員-建成分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,台中市東區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769351/
2020-07-05,營業員-忠孝分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,台北市大安區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769337/
2020-07-05,營業員-大甲分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市大甲區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769395/
2020-07-05,營業員-大甲分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市大甲區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769395/
2020-07-05,營業員-松山分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800",經紀業務之受託買賣及各項金融商品之推廣。,台北市松山區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769407/
2020-07-05,營業員-民權分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台中市西區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636590/
2020-07-05,營業員-經國分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新竹市北區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636587/
2020-07-05,營業員-士林分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市士林區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636566/
2020-07-05,營業員-西松分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市中山區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/71636564/
2020-07-05,營業員-大興分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市大安區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769458/
2020-07-05,營業員-內湖分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",台北市內湖區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769433/
2020-07-05,營業員-嘉義分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",嘉義市東區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769430/
2020-07-05,營業員-海山分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市板橋區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769427/
2020-07-05,營業員-鳳山分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",高雄市前鎮區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769426/
2020-07-05,營業員-高盛分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",高雄市前金區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769424/
2020-07-08,營業員-新莊分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新北市新莊區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769421/
2020-07-05,營業員-新竹分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",新竹市北區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769419/
2020-07-05,營業員-桃園分公司,群益金鼎證券股份有限公司,群益金鼎證券,"23,800","經紀業務之受託買賣及各項金融商品之推廣。要求條件 ● 證券商業務員,期貨商業務員 專業憑證",桃園市桃園區,經驗不拘,"高中職,專科,大學,碩士,博士",https://www.1111.com.tw/job/70769418/
