日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
7/01,〔個金〕消費金融電話行銷專員(彰化),台新金控_台新國際商業銀行股份有限公司,彰化縣彰化市中正路一段273號2樓,"24,000",1.以電話銷售方式，針對本行客戶銷售無擔保的信用貸款產品。公司提供優質系統客戶名單，純為內勤電話行銷。2.提供客戶最適合的金融產品專業建議及售後服務。3.屬於正職人員編制，非委外或外包或約聘，保障底薪+業績獎金+年終獎金，並享有公司豐富福,彰化縣彰化市,經歷不拘,高中,員工9000人,39tl2,www.104.com.tw/job/39tl2?jobsource=2018indexpoc
7/06,金融通路AO人員【總公司：金融通路業務部】,元大人壽保險股份有限公司(總公司),台北市松山區民生東路三段,待遇面議,1.負責銀行或證券通路商品上架提案。2.具業務拓展能力與服務通路熱忱。3.熟悉商品或通路經營狀況等專業知識。4.具團隊合作與跨組別及跨部室溝通能力。.其他主管交辦事項。,台北市松山區,經歷不拘,大學,,6k8ro,www.104.com.tw/job/6k8ro?jobsource=2018indexpoc
7/06,系統分析師(金融創新部),寶碩財務科技股份有限公司,台北市內湖區新湖二路329號5樓,"50,000",【寶碩財務科技－金融創新部簡介】2015年世界經濟論壇(WEF)針對未來的金融服務發展提供了一份長達178頁的詳盡報告，報告重點針對投資管理、支付、保險、存貸、籌資、市場資訊供給等六大功能與十一組創新模式。金融機構專注於金融核心領域，隨著,台北市內湖區,3年以上,大學,上市上櫃,6jny3,www.104.com.tw/job/6jny3?jobsource=2018indexpoc
7/06,專案經理(金融創新部),寶碩財務科技股份有限公司,台北市內湖區新湖二路329號5樓,"50,000",【寶碩財務科技－金融創新部簡介】2015年世界經濟論壇(WEF)針對未來的金融服務發展提供了一份長達178頁的詳盡報告，報告重點針對投資管理、支付、保險、存貸、籌資、市場資訊供給等六大功能與十一組創新模式。金融機構專注於金融核心領域，隨著,台北市內湖區,3年以上,大學,上市上櫃,6jnyc,www.104.com.tw/job/6jnyc?jobsource=2018indexpoc
7/07,【營運】金融商品清算交易作業主管人員(台中),國泰世華商業銀行股份有限公司_人力資源部,台中市西區,待遇面議,1.督導及覆核金融商品清算交割作業   2.規劃及督導遵循相關法規及報表編制  3.規劃及督導專案工作及新種商品流程之進行  4.規劃及督導作業流程改善.落實轄內人員管理及培育 ,台中市西區,5年以上,大學,員工9000人,6mdj1,www.104.com.tw/job/6mdj1?jobsource=2018indexpoc
7/06,金融通路企劃行政人員,泰安產物保險股份有限公司,台北市中正區館前路59號,"29,000",1.銀行通路合作規劃、維護2.輔導管理分公司達成業績目標及協助問題處理3.簡報製作4.報表製作、檔案傳輸.主管交辦事項,台北市中正區,經歷不拘,大學,員工945人,6vz6y,www.104.com.tw/job/6vz6y?jobsource=2018indexpoc
7/07,Credit Analyst (外商金融產業)-218FA,萬寶華企業管理顧問股份有限公司,台北市大安區敦化南路2段105號10、13樓,待遇面議,"1. Perform credit and personal financial statement analysis in order to determine repayment capacity2. Evaluate creditworthiness and risks, analyze risks, and in the writing of annual reviews",台北市大安區,經歷不拘,大學,,6z7oy,www.104.com.tw/job/6z7oy?jobsource=2018indexpoc
7/03,外商 - 軟體/系統整合 - (Sr.) Sales/Account Manager 金融領域 - 台中,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,台北市信義區基隆路1段333號12樓,待遇面議,"【職務內容】- 金融領域客戶新客戶並進行客戶關係管理之新規格與需求開拓- 業務推廣、達成業績目標、標案- 收集市場訊息, 並參與相關系統整合解決方案規劃與行銷推廣- 負責產品報價 / 訂單處理, 並處理應收帳款相關事宜- 協助",台北市信義區,經歷不拘,專科,,6whz2,www.104.com.tw/job/6whz2?jobsource=2018indexpoc
6/23,CBG Auditor 消費金融稽核,星展(台灣)商業銀行股份有限公司,台北市內湖區瑞光路399號13樓,待遇面議,"1.Prepare audit planning and undertake audit engagements as assigned by CBG Audit team lead.2.Review new products/services, systems and major enhancements with significant risk impacts on a timely basis as designated by CBG Audit Head, to ensure that risks have been identified and adequate controls are present.3.Advise and apprise promptly CBG Audit Head and/or Head of Audit for Taiwan of major risks, controls and regulatory issues arisen during the audit.4.Plan, execute and complete all audits in accordance with departmental and professional standards..Provide audit team members with proper guidance, coaching and supervision in delivering quality audit services focused on key risk areas.  Assist CBG Audit Head in ensuring that audit assignments are executed on time, with quality, within scope and budget.6.Update and maintain audit risk matrices, including audit work papers for each audit engagement.7.Test and follow up all outstanding audit issues for proper implementation during each audit engagement.8.Keep abreast of own professional development to enhance one's;s skills and competence.9.Maintain key relationships with middle level management and stakeholders, raise potential risk and control issues to audit management through continuous monitoring for areas designated by CBG Audit Head.",台北市內湖區,8年以上,大學,外商公司,5lt0a,www.104.com.tw/job/5lt0a?jobsource=2018indexpoc
7/08,新光銀行-經驗存匯櫃員(大台北地區),新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),台北市信義區,"33,000",1.執行一般櫃員日常各項現金、票據、存匯轉帳、票據收受業務及存款類日結、月結等帳務性相關工作，以達客戶滿意。2.需具備金融道德常識及信託證照。3.正式行員非約聘人員。,台北市信義區,2年以上,專科,上市上櫃,5d02r,www.104.com.tw/job/5d02r?jobsource=2018indexpoc
6/08,資訊安全專業人員 (凱基證券 資訊部),中華開發金融控股股份有限公司(凱基證券)(凱基銀行),台北市中正區重慶南路,待遇面議,#資安技術:1.孰悉金融業網路架構與資訊安全技術2.具導入或維運資安防禦系統管理之經驗，如APT/SIEM等3.資安系統監控事件與分析統計#資安治理1.相關資安情資蒐集及追蹤處理統計2.協助資安管理作業追蹤與管理3.協助電腦系統資訊,台北市中正區,3年以上,大學,上市上櫃,6dbj0,www.104.com.tw/job/6dbj0?jobsource=2018indexpoc
7/06,分行-理財專員(花蓮),永豐商業銀行股份有限公司,花蓮縣花蓮市花蓮縣花蓮市分行,"36,000",1.開發暨維繫客戶關係2.推廣各項金融商品及特色分析3.提供客戶資產配置的建議、分析投資績效及報表,花蓮縣花蓮市,1年以上,大學,,6wmsh,www.104.com.tw/job/6wmsh?jobsource=2018indexpoc
6/30,營業員(竹北),日盛金融控股股份有限公司,新竹縣竹北市,"25,000",1. 開發客戶2. 接受客戶買賣委託3. 達成訂定之業績目標福利制度：◎完整保障薪資制度◎部份證照補助◎職前及職涯發展課程訓練◎婚喪補助◎生育補助◎團體旅遊補助◎社團補助◎勞、健、團體保險◎勞退提撥◎眷屬保險◎員工福利點數◎特別休假◎週休二日◎三節獎金◎員工持股信託◎員工優惠貸款,新竹縣竹北市,經歷不拘,專科,上市上櫃,wv30,www.104.com.tw/job/wv30?jobsource=2018indexpoc
7/06,分行-理財專員(宜蘭地區),永豐商業銀行股份有限公司,宜蘭縣宜蘭市宜蘭縣宜蘭市宜蘭區域依公司規定分派,"35,000",●開發暨維繫客戶關係●推廣各項金融商品及特色分析●提供客戶資產配置的建議、分析投資績效及報表~錄取後，分發至全省分行(分行數:129家)~,宜蘭縣宜蘭市,2年以上,大學,,6wnd8,www.104.com.tw/job/6wnd8?jobsource=2018indexpoc
7/07,元大金控-元大期貨 專案及系統管理人員(資訊部),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),台北市中山區臺北市中山區南京東路三段225號12樓,待遇面議,一、資訊需求專案管理二、金融系統分析管理三、Shell Script 撰寫,台北市中山區,經歷不拘,大學,上市上櫃,6ysmf,www.104.com.tw/job/6ysmf?jobsource=2018indexpoc
1/15,.NET 系統開發工程師,日盛金融控股股份有限公司,台北市中山區長安東路二段114號3樓,待遇面議,1. 依據需求單位對資訊服務的需求，開發應用系統，並建議最佳作業方式。2. 規劃並撰寫系統需求、規格書及計畫書。3. 以C# .NET 開發網站應用程式（Web-based application）。4. 維護資料庫管理系統，確保資料的安全性。,台北市中山區,3年以上,專科,上市上櫃,4fstn,www.104.com.tw/job/4fstn?jobsource=2018indexpoc
